listing_id,title,deal_type,deposit,monthly_rent,size_m2,floor
2502387545,동대문구 역세권 사무실 #4,sale,1900000000,0,244.0,37/41
2535476324,동대문구 역세권 사무실 #5,sale,300000000,0,51.0,37/43
2594479713,동대문구 역세권 사무실 #6,sale,600000000,0,192.3,14/14
2568165470,동대문구 역세권 사무실 #12,sale,1200000000,0,129.1,1/9
2550415378,동대문구 역세권 사무실 #13,sale,800000000,0,248.7,19/25
2514263603,동대문구 역세권 사무실 #14,sale,1300000000,0,260.5,21/29
2533902537,동대문구 역세권 사무실 #25,sale,600000000,0,108.6,25/35
2576905921,동대문구 역세권 사무실 #34,sale,800000000,0,250.9,40/41
2568741916,동대문구 역세권 사무실 #41,sale,200000000,0,235.9,39/48
2502250283,동대문구 역세권 사무실 #42,sale,700000000,0,59.1,7/9
2518409157,동대문구 역세권 사무실 #45,sale,600000000,0,42.6,23/30
2583498594,동대문구 역세권 사무실 #51,sale,600000000,0,298.2,3/3
2542538723,동대문구 역세권 사무실 #53,sale,1700000000,0,250.5,39/42
2514763566,동대문구 역세권 사무실 #54,sale,1800000000,0,90.0,13/20
2561204522,동대문구 역세권 사무실 #59,sale,600000000,0,34.5,4/14
2535387325,동대문구 역세권 사무실 #65,sale,2000000000,0,141.5,19/27
2515646594,동대문구 역세권 사무실 #92,sale,400000000,0,25.9,4/9
2598760034,동대문구 역세권 사무실 #95,sale,1200000000,0,214.9,2/6
2596660215,동대문구 역세권 사무실 #109,sale,1400000000,0,272.6,16/25
2569503280,동대문구 역세권 사무실 #110,sale,800000000,0,210.4,25/27
2510408404,동대문구 역세권 사무실 #115,sale,500000000,0,90.1,3/10
2504108116,동대문구 역세권 사무실 #117,sale,1700000000,0,138.7,19/19
2524514859,동대문구 역세권 사무실 #127,sale,1200000000,0,292.2,3/7
2585589367,동대문구 역세권 사무실 #129,sale,1400000000,0,225.0,19/22
2560951894,동대문구 역세권 사무실 #138,sale,1200000000,0,39.7,24/31
2527888984,동대문구 역세권 사무실 #139,sale,1300000000,0,173.7,25/35
2552377681,동대문구 역세권 사무실 #141,sale,1200000000,0,292.3,11/21
2507560595,동대문구 역세권 사무실 #154,sale,800000000,0,283.8,14/19
2586993228,동대문구 역세권 사무실 #160,sale,1700000000,0,189.5,21/27
2548150040,동대문구 역세권 사무실 #161,sale,800000000,0,55.0,9/15
2512224214,동대문구 역세권 사무실 #168,sale,900000000,0,152.7,19/29
2596779991,동대문구 역세권 사무실 #170,sale,1400000000,0,22.5,22/29
2512797196,동대문구 역세권 사무실 #178,sale,100000000,0,286.4,33/38
2516725885,동대문구 역세권 사무실 #184,sale,1400000000,0,11.2,4/12
2573721581,동대문구 역세권 사무실 #197,sale,1500000000,0,64.4,40/46
2569949445,동대문구 역세권 사무실 #209,sale,600000000,0,75.9,11/14
2524868708,동대문구 역세권 사무실 #214,sale,1800000000,0,165.3,34/38
2533498521,동대문구 역세권 사무실 #216,sale,2000000000,0,268.1,34/34
2530873157,동대문구 역세권 사무실 #228,sale,2000000000,0,180.7,33/33
2584688873,동대문구 역세권 사무실 #230,sale,1300000000,0,264.7,8/13
2516126831,동대문구 역세권 사무실 #235,sale,700000000,0,238.8,15/21
2505616760,동대문구 역세권 사무실 #239,sale,1100000000,0,202.8,18/18
2522236980,동대문구 역세권 사무실 #251,sale,1200000000,0,54.4,3/9
2547488410,동대문구 역세권 사무실 #252,sale,2000000000,0,49.1,37/45
2590005310,동대문구 역세권 사무실 #256,sale,1400000000,0,64.9,34/41
2556633929,동대문구 역세권 사무실 #266,sale,1700000000,0,147.1,30/34
2507075110,동대문구 역세권 사무실 #278,sale,1700000000,0,193.0,20/20
2571479332,동대문구 역세권 사무실 #280,sale,1800000000,0,141.1,6/12
2590673937,동대문구 역세권 사무실 #288,sale,700000000,0,96.1,7/11
